record_date,captured_at,stock_code,company_name,subscription_multiple,status,subscription_end_date,data_type,data_source,source_url
2026-07-02,2026-07-02 10:34:00 CST,02667,同仁堂医养,127.08,认购中（当日截止）,2026-07-02,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-02,2026-07-02 10:34:00 CST,01770,东方科脉,63.45,认购中,2026-07-03,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-02,2026-07-02 10:34:00 CST,07656,瑞为技术,384.64,认购中,2026-07-03,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-02,2026-07-02 10:34:00 CST,07687,易控智驾,26.44,认购中,2026-07-03,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-02,2026-07-02 10:34:00 CST,08090,宝盖新材,205.59,认购中,2026-07-03,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-02,2026-07-02 10:34:00 CST,09971,基本半导体,983.55,认购中,2026-07-03,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-02,2026-07-02 10:34:00 CST,06880,MOMENTA-W,47.77,认购中,2026-07-03,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-02,2026-07-02 10:34:00 CST,02797,齐云山食品,6.48,认购中,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-02,2026-07-02 10:34:00 CST,03752,珞石机器人,7.75,认购中,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-02,2026-07-02 10:34:00 CST,00537,普源精电,7.25,认购中,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-02,2026-07-02 10:34:00 CST,02475,立讯精密,0.90,认购中,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-02,2026-07-02 10:34:00 CST,06951,三环集团,12.62,认购中,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-02,2026-07-02 10:34:00 CST,01377,鼎泰高科,10.37,认购中,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-02,2026-07-02 10:34:00 CST,02249,晶合集成,1.33,认购中,2026-07-07,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-02,2026-07-02 10:34:00 CST,06745,滨化股份,1.99,认购中,2026-07-07,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-02,2026-07-02 10:34:00 CST,02523,永康控股,4.47,认购中,2026-07-08,招股期实时推算值,HKIPOx,https://hkipox.com/
